SELECT * FROM ycsb.usertable WHERE y_id='user2870996990448548868';
UPDATE ycsb.usertable SET field1='1%qZa;:hq?nfYq>8r;M5,f:8Z=%H3?Sy;f23!>9&4789Y)>^c;*&:d:1S--4*8-jq(0*L%!2dY9<?h;.~/8n)5j39:)`;' WHERE y_id='user1709515506375118236';
SELECT * FROM ycsb.usertable WHERE y_id='user9215611980666584556';
UPDATE ycsb.usertable SET field7='dW%(d8;9r/C7./p:0>6!11x>T9<-~2V?)3<Ww/Wi7-#8:Au3&::U{32j6J)57>>s2Ns=100t7<(5Zi!Caf_i:%t&-(+V)9' WHERE y_id='user769523418233689801';
SELECT * FROM ycsb.usertable WHERE y_id='user8401215584746478334';
SELECT * FROM ycsb.usertable WHERE y_id='user1940377266345655795';
UPDATE ycsb.usertable SET field4=':nq,4Nf00:#?2,G?f8f*8:#T{&Am=_o;GmqNa>Cf3?<%>>#~>R55%<<,h#?l?,r)!d+7v*#r?2xd0h#(;Yg:?8,Y+(:(f8`.' WHERE y_id='user8421080233847829954';
UPDATE ycsb.usertable SET field7='2/d5#</Q#1#,(/:5Zw,8v#E;/6`#%.0Aa&Qk)_q:>ddUf!^)=D?+*dK%!.914%5:2+j?\/d:08D!0<841b*.h.N9#Ye2/</S=9' WHERE y_id='user5118272549280380333';
SELECT * FROM ycsb.usertable WHERE y_id='user2755115307560060582';
SELECT * FROM ycsb.usertable WHERE y_id='user4882382961996276528';
UPDATE ycsb.usertable SET field7=';O}+s*^)=->08`:&z?(<,*7-1&h,:f2Y9!J-=E35Ca:V)428!)d#8x6S)>8>-/:!O/8v1R91*.2-h7}?&z;Yq:q*d,l.O&' WHERE y_id='user5817347222824138717';
SELECT * FROM ycsb.usertable WHERE y_id='user8155611988129540602';
UPDATE ycsb.usertable SET field8='I5=Lw*R5=2r*J!(_a:Em6+j6#,13h5R{>H%04^?8Cq6Ao/,q1Y527:=^;30d:4(.Wq&6q9!ddO7?8h:F+4-dq>~f.v2=.0=2(' WHERE y_id='user3710067547565731073';
SELECT * FROM ycsb.usertable WHERE y_id='user5701807185229948996';
UPDATE ycsb.usertable SET field3='*So*_%!-v6Ri<O3-M1/8&Wk?;:dV)<:d1Bfq-48(z+Q3)-n3.~7&dM%5Pk#G%-JmfUe&o1Qk?Kg.4p&Yy?D?),*1Eq6+(?Ry#' WHERE y_id='user653081774833061067';
UPDATE ycsb.usertable SET field9='%^)=R5=3:9VafSe+Zy2.|7K)2.69%z%E-80d.6t6V3)v6,&%1162)W/(18>;f*:<:@q>7|414&0>Wf-&:%d4?vd**-K7!Sq/' WHERE y_id='user3931898588792031835';
UPDATE ycsb.usertable SET field3='2_k;Fk1Ks3Uf+=r:6v.T1Gaq58<_ad9p;3d#>4W#84(W;319Qu-c>,;(4!D%3O+4*>*02)N1!?41T?+344*2=?(,5dqq!' WHERE y_id='user2413276361938144301';
SELECT * FROM ycsb.usertable WHERE y_id='user8753546815431210873';
SELECT * FROM ycsb.usertable WHERE y_id='user6390389573710891122';
